trades,win_rate,profit_factor,expectancy_r,max_drawdown_pct,sharpe,max_consec_losses,cagr_pct,year_removed,variant
2064,0.19428294573643412,1.5989448950222434,0.5366491953148859,-13.903844546464539,1.8567948592705266,32,38.717496206713875,none (full population),current
1904,0.19432773109243698,1.5904255009734236,0.5296627133261904,-13.903844546464574,1.819845562172665,32,37.483657650542625,2012,current
1838,0.19423286180631122,1.6060739934383768,0.5445367033361241,-13.903844546464454,1.7710477991683113,32,34.416996668737966,2013,current
1858,0.18945102260495156,1.5607237849075895,0.5050585116054879,-13.903844546464642,1.6649070397665742,32,31.89105329454769,2014,current
1875,0.18986666666666666,1.5504847801773758,0.49548007328621924,-13.903844546464558,1.6537553423309055,32,31.512478476909102,2015,current
1882,0.191817215727949,1.5763481254560818,0.517933874893213,-13.903844546464558,1.7162993398110258,32,33.33748525927962,2016,current
1898,0.18703898840885141,1.5182523126666234,0.46701143098580367,-13.903844546464573,1.581146784948536,32,29.816307808438623,2017,current
1845,0.2005420054200542,1.6752957264820272,0.5977578538291005,-9.463337034324727,1.9236947362070118,22,38.640315035864226,2018,current
1809,0.19900497512437812,1.6729226002188144,0.5970454511348915,-13.903844546464539,1.9074962155602855,32,37.70401390421652,2019,current
1870,0.19786096256684493,1.6231459603154132,0.5584619664426115,-13.903844546464539,1.8310380875731083,32,36.185323842743486,2020,current
1831,0.19825232113599126,1.6202459033487002,0.5552955557763436,-13.903844546464539,1.7976600210470237,32,35.07926020341547,2021,current
2030,0.19507389162561575,1.602163831936299,0.5391879421516079,-13.903844546464539,1.8683850385352914,32,39.01907927162882,2022,current
2074,0.36837029893924783,1.7029690891910476,0.4587880651247847,-8.014799136931943,2.136216318842981,13,32.94691789735074,none (full population),proposed
1914,0.3667711598746082,1.6727332535914718,0.4405261313821997,-8.014799136931876,2.0678660964528244,13,30.947215631980352,2012,proposed
1848,0.3695887445887446,1.7132602512258248,0.46626590443187277,-8.014799136931956,2.0205910213581193,13,29.41270731522092,2013,proposed
1867,0.3642206748794858,1.6713581408678182,0.4399928411874293,-8.014799136931956,1.9347111319040435,13,27.840836354757737,2014,proposed
1882,0.3645058448459086,1.6348902622005799,0.415470831954955,-8.014799136931865,1.9258589950692278,13,26.357433473091383,2015,proposed
1891,0.3659439450026441,1.6550077648389552,0.4283516022276046,-8.014799136931924,1.9533145080079775,13,27.42269319876125,2016,proposed
1907,0.362349239643419,1.6541644673606242,0.42965751871928326,-8.205482190501865,1.9292943573430916,13,27.752818154402025,2017,proposed
1853,0.3761467889908257,1.8027502043957315,0.5146067714346811,-6.228378662953744,2.20536693129797,13,33.07786698097856,2018,proposed
1819,0.3749312809235844,1.7812175846691263,0.5036786737565634,-8.014799136931943,2.1441580839446366,13,31.584168444236262,2019,proposed
1880,0.3659574468085106,1.71168175756668,0.46962349459074665,-8.014799136931943,2.0590889184933254,13,30.242110129202217,2020,proposed
1839,0.37302882001087545,1.7306679940310237,0.4752967969029973,-8.014799136931943,2.066443356802028,12,29.918016153745807,2021,proposed
2040,0.36911764705882355,1.7136158288038783,0.4661591770682876,-8.014799136931943,2.16143973602239,13,33.63063470291869,2022,proposed
1587,0.3780718336483932,1.7264271348828002,0.4695671655783014,-7.785283620478271,1.8673853525252757,11,24.972449154167165,none (full population),proposed_filtered
1459,0.37834132967786155,1.7050237147382221,0.4561040106650611,-7.785283620478249,1.8281539239840043,11,23.70915329994392,2012,proposed_filtered
1425,0.37964912280701757,1.7422376203674332,0.48050433176388546,-7.785283620478293,1.778332503750402,11,22.72647071403222,2013,proposed_filtered
1425,0.37684210526315787,1.7293796242044777,0.4706889220464304,-7.785283620478236,1.7584483176113028,11,22.211016452632037,2014,proposed_filtered
1446,0.3748271092669433,1.643537267330981,0.4166915201974928,-7.7852836204782445,1.6774033418617285,11,19.748687976855873,2015,proposed_filtered
1438,0.3769123783031989,1.672579225225267,0.43488654582920105,-7.785283620478342,1.6961554387942686,11,20.56508656278362,2016,proposed_filtered
1453,0.37026841018582246,1.660912982932067,0.4312632222259442,-7.785283620478248,1.6534424925839037,11,20.581647800350765,2017,proposed_filtered
1424,0.3827247191011236,1.8179408586806687,0.5213251522473493,-5.619184834983072,1.9115688496252248,10,24.894624878152506,2018,proposed_filtered
1390,0.3856115107913669,1.829365331639566,0.5286240629541451,-7.785283620478271,1.9028975799360297,11,24.616790216068306,2019,proposed_filtered
1435,0.375609756097561,1.7331511066918928,0.47994989868734417,-7.785283620478271,1.7900996892052985,11,22.8749574961723,2020,proposed_filtered
1418,0.37940761636107195,1.7261553509114675,0.4699813910760218,-7.785283620478271,1.7581335224967891,11,22.058981239249896,2021,proposed_filtered
1557,0.3789338471419396,1.738703491183335,0.47802205845647516,-7.785283620478271,1.888497409527889,11,25.456873228119537,2022,proposed_filtered
