year,trades,win_rate_pct,pnl_usd,return_pct,end_equity
2012,160,19.375,3337.2929112199736,33.372929112199735,13337.292911219974
2013,226,19.469026548672566,4819.892156157651,36.13845919289157,18157.185067377624
2014,206,23.78640776699029,11609.973669702189,63.94148446810415,29767.158737079815
2015,189,23.809523809523807,20427.251575985178,68.62345095281039,50194.41031306499
2016,182,21.978021978021978,23756.099860503302,47.32817800295959,73950.5101735683
2017,166,27.710843373493976,67657.01106931195,91.48957986971968,141607.52124288026
2018,219,14.15525114155251,774.1441068048916,0.5466829021582171,142381.66534968515
2019,255,16.07843137254902,10604.061776145383,7.447631512176882,152985.72712583054
2020,194,15.979381443298967,30257.65557588105,19.778090508400282,183243.38270171158
2021,233,16.30901287553648,54495.18578414949,29.7392380454241,237738.56848586106
2022,33,12.121212121212121,2582.305207193707,1.0861953210369748,240320.87369305477
